2024-05-30 13:43:27 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 13:43:27 [main] INFO  c.p.r.XlsxInfoRepositoryTest - Starting XlsxInfoRepositoryTest using Java 22.0.1 with PID 19564 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 13:43:27 [main] INFO  c.p.r.XlsxInfoRepositoryTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 13:43:28 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-30 13:43:28 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 134 ms. Found 1 JPA repository interface.
2024-05-30 13:43:28 [main] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
2024-05-30 13:43:28 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Starting embedded database: url='jdbc:h2:mem:45f6f37e-a5a2-4719-a5ea-2bd211e72d16;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
2024-05-30 13:43:28 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-30 13:43:28 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-30 13:43:28 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-30 13:43:29 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-30 13:43:29 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-30 13:43:29 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-30 13:43:30 [main] INFO  o.s.d.j.r.q.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-30 13:43:30 [main] INFO  c.p.r.XlsxInfoRepositoryTest - Started XlsxInfoRepositoryTest in 2.753 seconds (process running for 3.795)
2024-05-30 13:43:30 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Error: 42102, SQLState: 42S02
2024-05-30 13:43:30 [main] ERROR o.h.e.jdbc.spi.SqlExceptionHelper - Таблица "USER_INFO" не найдена
Table "USER_INFO" not found; SQL statement:
delete from user_info where id = 1 [42102-224]
2024-05-30 13:43:30 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-30 14:34:30 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-30 14:34:30 [main] INFO  c.p.controller.ParserControllerTest - Starting ParserControllerTest using Java 22.0.1 with PID 4504 (started by Димыч in C:\Users\Димыч\Downloads\pastebin\notificationSystem\xlsxParser)
2024-05-30 14:34:30 [main] INFO  c.p.controller.ParserControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-05-30 14:34:33 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-30 14:34:33 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-30 14:34:33 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2024-05-30 14:34:33 [main] INFO  c.p.controller.ParserControllerTest - Started ParserControllerTest in 3.028 seconds (process running for 4.096)
2024-05-30 14:34:33 [main] INFO  c.p.controller.ParserController - homeMethodPoint
